title,slug,variant1,variant2
Biden,biden,Biden,Bidens
Trump,trump,Trump,Trumps
Democrats,democrats,Democrat,Democrats
Republicans,republicans,Republican,Republicans
Liberals,liberals,Liberal,Liberals
Conservatives,conservatives,Conservative,Conservatives
