title,slug,youtube_id,playlist_id,url,color
Fox News,fox-news,UCXIJgqnII2ZOINSWNOGFThA,UUXIJgqnII2ZOINSWNOGFThA,https://www.youtube.com/user/FoxNewsChannel,#5975a4
CNN,cnn,UCupvZG-5ko_eiXAupbDfxWw,UUupvZG-5ko_eiXAupbDfxWw,https://www.youtube.com/user/CNN,#b55d60
